subject_id,age,gender,mom_edu,language,music_training,sheet_music,h_c_pre,h_c_post,anxiety,lag_task1,pc_baseline_task1,pc_post1_task1,pc_pre2_task1,pc_post2_task1,pc_final_task1,sdl_baseline_task1,sdl_post1_task1,sdl_pre2_task1,sdl_post2_task1,sdl_final_task1,sda_baseline_task1,sda_post1_task1,sda_pre2_task1,sda_post2_task1,sda_final_task1
52,22,0,18,90,NA,NA,50,97.5,6,15,63,45,96,73,100,290,51,31,96,36,5,6,5,4,6
53,19,0,10,82,other_instrument,cannot_read,85.5,100,6.25,0,81,98,100,88,100,310,44,43,47,41,7,5,6,6,5
54,19,0,17,73,NA,NA,85.5,93,4,15,75,47,63,12,67,107,293,128,71,58,6,7,6,10,11
55,18,0,5,93,NA,NA,100,100,1,5,55,57,51,67,78,358,77,270,261,196,9,6,5,8,6
56,18,0,14,90,NA,NA,80,87.5,5.25,0,100,100,78,63,71,72,51,69,95,79,6,3,6,4,2
57,19,0,9,71,NA,NA,67.5,81.5,7,10,41,51,82,55,73,208,167,145,115,123,7,9,6,6,6
58,19,0,14,70,NA,NA,97.5,98.5,4.75,0,85,100,100,100,80,122,44,52,57,42,8,5,5,6,5
59,18,0,12,100,NA,NA,90,NA,1,10,67,80,100,100,100,151,43,39,47,48,5,4,5,4,4
60,28,1,14,34,other_instrument,cannot_read,30,79,7.75,15,71,100,98,94,82,90,38,50,51,41,7,6,5,9,7
61,18,0,16,75,other_instrument,can_read,75,78,6.25,5,86,100,100,67,100,48,47,64,35,53,3,4,3,4,4
62,20,0,16,100,NA,NA,90,90,7.75,1,29,76,98,75,75,188,210,83,126,105,9,3,4,7,4
63,22,0,16,65,other_instrument,cannot_read,67.5,78,7,15,67,90,86,69,100,69,57,45,54,89,7,6,6,5,4
64,18,0,16,26,other_instrument,can_read,100,93,1.5,15,82,75,100,98,100,91,133,55,60,47,4,6,5,3,3
65,18,1,12,80,NA,NA,94,98.5,NA,1,73,92,69,78,100,200,73,42,47,59,10,10,10,5,8
66,17,0,18,75,other_instrument,can_read,65,93.5,2,15,84,82,65,98,94,78,60,39,36,41,7,10,6,7,9
67,20,1,16,80,other_instrument,cannot_read,90,92,5.333333333,1,88,98,69,55,73,49,22,20,31,24,5,8,9,7,7
68,17,0,12,90,NA,NA,71,92,6,10,100,100,100,100,100,233,228,158,126,135,6,4,6,3,4
69,18,0,8,71,NA,NA,80,51,NA,1,69,94,100,75,45,194,91,92,76,58,7,6,5,6,8
70,26,0,14,70,other_instrument,cannot_read,80,85,4.25,10,98,69,100,100,100,145,95,68,56,71,5,4,7,5,4
71,26,1,14,4,other_instrument,cannot_read,70,68,6.5,5,98,86,100,100,100,81,41,42,43,78,6,5,6,7,9
72,18,1,16,100,other_instrument,cannot_read,100,100,1,0,76,71,82,100,65,235,33,34,33,42,7,4,7,6,5
73,17,1,14,100,other_instrument,can_read,91,94.5,6.25,5,69,100,100,100,100,20,57,34,41,36,9,9,11,9,8
74,19,0,11,18,piano,can_read,30,39,6.25,15,55,49,100,100,100,250,97,141,63,78,8,5,5,6,4
75,19,0,12,80,other_instrument,cannot_read,95,95,6.75,10,53,78,63,100,76,226,49,31,49,44,11,14,10,13,13
76,21,0,12,14,other_instrument,cannot_read,93.5,82.5,3,15,67,94,76,86,100,98,99,298,106,85,6,4,5,3,3
77,25,1,18,50,NA,NA,85,85,2.25,15,71,63,59,100,100,213,104,144,130,79,10,7,6,8,7
